Essay_1	Essay_2	Order_1	Order_2
5693	8442	S17	F17
7943	8276	W19	S19
7549	1033	W19	S19
7332	4350	F17	W18
8276	7790	S19	F19
9861	5442	F17	W18
6223	3242	S17	F17
5120	9746	F18	W19
9715	8390	S20	F20
4276	3923	F17	W18
7201	9609	S19	F19
1871	1312	W20	S20
6468	9839	W18	S18
8390	4670	F20	W21
9914	6571	F18	S19
8263	3881	W20	S20
3044	4835	F18	S19
8116	7752	S17	F17
5864	7103	W20	S20
3047	8045	F18	W19
8779	7756	W20	S20
7397	4267	S19	F19
2206	5661	W18	S18
7447	1572	W19	S19
1456	2436	S17	W18
2289	2591	F18	F19
7343	1132	F20	W21
6190	4748	S17	F17
7505	9113	F18	W19
3193	4213	F20	W21
8056	9802	W20	S20
7613	2117	W20	F20
9540	6271	W20	S20
4236	6856	W20	F20
8983	8888	F18	S19
1531	1965	F18	S19
7261	8467	W19	S19
6061	8411	S17	F17
9926	4557	W20	W21
9371	3884	F18	W19
2473	7511	F17	S18
8695	8730	W19	S19
5427	8256	W19	S19
7276	9807	F18	F19
1525	4010	W19	F19
1525	9472	W19	S19
5161	3719	W20	F20
9234	3581	W20	F20
5670	7176	W18	S18
9216	3482	F17	W18
3084	6986	F18	S19
7858	5295	F20	W21
8932	4951	S17	F17
1463	9901	W20	S20
9727	3439	S17	F17
6358	6252	W20	S20
7063	4940	W18	S18
8973	5206	S20	W21
8849	5386	F18	W19
6221	7351	S17	W18
5230	8972	W19	S19
6393	5427	F18	W19
6973	3452	F18	W19
6075	7223	S17	F17
2925	6013	S19	F19
7603	6753	W18	S18
5693	9276	S17	S18
3757	5078	W18	S18
8495	1637	W19	S19
2712	3411	F17	W18
3296	5219	F20	W21
7452	8973	W20	S20
3265	5913	F17	W18
8295	4895	W20	W21
2684	4140	F18	S19
9234	8777	W20	W21
8477	1586	F18	S19
7523	7260	W20	S20
4959	6763	S20	F20
5074	9876	W18	S18
1192	1013	W20	W21
2740	4140	W19	S19
8148	5445	F17	S18
4666	5536	F20	W21
2102	4815	S19	F19
2606	1712	S19	F19
7730	8542	S20	F20
1552	2374	W19	S19
1151	6794	W19	F19
7344	9237	F18	S19
4913	4928	S17	W18
2267	2797	S19	F19
3476	3957	F18	F19
4609	4945	F18	W19
6926	5918	W20	S20
8106	5801	W20	S20
5161	6449	W20	S20
3946	6827	F18	W19
7762	9339	W18	S18
4019	8284	W19	F19
5440	6508	F18	S19
5472	2359	W20	S20
1532	1776	W20	S20
1975	6930	F20	W21
7907	3930	W20	W21
2167	5267	F17	W18
6779	4943	W20	S20
1089	1962	W20	S20
9468	3257	S20	F20
7521	1255	F18	F19
7344	2900	F18	W19
6664	8899	F18	W19
